name,email,phone,country,state,city,course
Mary Jane Watson,mj@example.com,9876543268,USA,New York,Queens,Acting
Harry Osborn,harry@example.com,9876543269,USA,New York,Queens,Business
Eddie Brock,eddie@example.com,9876543270,USA,New York,Queens,Journalism
Felicia Hardy,felicia@example.com,9876543271,USA,New York,Queens,Theft
Matt Murdock,matt@example.com,9876543272,USA,New York,Hell's Kitchen,Law
Jessica Jones,jessica@example.com,9876543273,USA,New York,Hell's Kitchen,Investigation
Luke Cage,luke@example.com,9876543274,USA,New York,Harlem,Strength Training
Danny Rand,danny@example.com,9876543275,USA,New York,Harlem,Martial Arts
Frank Castle,frank@example.com,9876543276,USA,New York,Brooklyn,Military Tactics
Karen Page,karen@example.com,9876543277,USA,New York,Hell's Kitchen,Journalism
Foggy Nelson,foggy@example.com,9876543278,USA,New York,Hell's Kitchen,Law
Wade Wilson,wade@example.com,9876543279,Canada,Alberta,Calgary,Assassination
Vanessa Carlysle,vanessa@example.com,9876543280,Canada,Alberta,Calgary,Modeling
Colossus,colossus@example.com,9876543281,Russia,Siberia,Magadan,Strength
Negasonic Teenage Warhead,negasonic@example.com,9876543282,USA,Unknown,Unknown,Mutant Studies
Domino,domino@example.com,9876543283,USA,Unknown,Unknown,Luck Manipulation
Cable,cable@example.com,9876543284,USA,Unknown,Unknown,Time Travel
Yukio,yukio@example.com,9876543285,Japan,Tokyo,Tokyo,Swordsmanship
Shatterstar,shatterstar@example.com,9876543286,Mojoworld,Central Province,Main City,Combat
Longshot,longshot@example.com,9876543287,Mojoworld,Central Province,Main City,Luck Manipulation
Jubilee,jubilee@example.com,9876543288,USA,California,Los Angeles,Mutant Studies
Bishop,bishop@example.com,9876543289,USA,California,Los Angeles,Time Travel
Iceman,iceman@example.com,9876543290,USA,New York,New York,Cryogenics
Beast,beast@example.com,9876543291,USA,New York,New York,Biology
Cyclops,cyclops@example.com,9876543292,USA,New York,New York,Optics
Jean Grey,jean@example.com,9876543293,USA,New York,New York,Telepathy
Storm,storm@example.com,9876543294,Kenya,Nairobi,Nairobi,Weather Control
Rogue,rogue@example.com,9876543295,USA,Mississippi,Caldecott,Power Absorption
Gambit,gambit@example.com,9876543296,USA,Louisiana,New Orleans,Kinetics
Psylocke,psylocke@example.com,9876543297,UK,England,London,Telepathy
